Stakeholder,Stakeholder for some topic?,Emailed?,Replied?,Count,Migrate status and triage,Workflow,Config management workflows,DrupalCI workshop,ES6,Media,JS testing,,,,,,,,,,,,,,,,,
owner,,,,,mikeryan,dixon_,geerlingguy(?),Mixologic,nod_ / drpal,phenaproxima,dawehner,,,,,,,,,,,,,,,,,
# stakeholders,,,,,6,9,8,6,12,8,4,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0
add1sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentrickard,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,
alexpott,1,1,,3,,1,1,,1,,,,,,,,,,,,,,,,,,,
amateescu,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,
andypost,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aspilicious,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attiks,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bceyssens,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benjy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berdir,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,
bircher,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,
bojanz,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bojhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boris Mann,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catch,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,
chx,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cilefen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cottser,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
damiankloip,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dave Reid,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David_Rothstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,
davidhernandez,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dawehner,1,1,1,3,,,1,1,,,1,,,,,,,,,,,,,,,,,
dixon_,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,
Dries,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drpal,1,1,,2,,,,,1,,1,,,,,,,,,,,,,,,,,
dsnopek,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eatings,1,1,1,1,,,,,1,,,,,,,,,,,,,,,,,,,
eaton,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EclipseGc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effulgentsia,1,,,2,,,,,1,1,,,,,,,,,,,,,,,,,,
emma.maria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eojthebrave,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabianx,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fubhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gabesullice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
